design_label,metric,replicate,sample_seed,n_models,n_dyads,mean_similarity_rate,mas_compatibility_rate,identified_compatibility_rate,similarity_minus_mas,similarity_minus_identified,similarity_error,mas_error,identified_error,similarity_minus_mas_error,similarity_minus_identified_error
1B,identified_compatible,60,1060,60,3540,0.680626,1.0,0.107345,-0.319374,0.573281,0.002381,0.0,-0.002603,0.002381,0.004984
1B,identified_compatible,61,1061,60,3540,0.685448,1.0,0.107345,-0.314552,0.578103,0.007203,0.0,-0.002603,0.007203,0.009806
1B,identified_compatible,62,1062,60,3540,0.678628,1.0,0.107345,-0.321372,0.571283,0.000383,0.0,-0.002603,0.000383,0.002986
1B,identified_compatible,63,1063,60,3540,0.689804,1.0,0.107345,-0.310196,0.582459,0.011559,0.0,-0.002603,0.011559,0.014162
1B,identified_compatible,64,1064,60,3540,0.684417,1.0,0.107345,-0.315583,0.577072,0.006172,0.0,-0.002603,0.006172,0.008775
1B,identified_compatible,65,1065,60,3540,0.683981,1.0,0.107345,-0.316019,0.576637,0.005736,0.0,-0.002603,0.005736,0.00834
1B,identified_compatible,66,1066,60,3540,0.692411,1.0,0.107345,-0.307589,0.585067,0.014166,0.0,-0.002603,0.014166,0.01677
1B,identified_compatible,67,1067,60,3540,0.681556,1.0,0.107345,-0.318444,0.574211,0.003311,0.0,-0.002603,0.003311,0.005914
1B,identified_compatible,68,1068,60,3540,0.677157,1.0,0.107345,-0.322843,0.569812,-0.001088,0.0,-0.002603,-0.001088,0.001515
1B,identified_compatible,69,1069,60,3540,0.680842,1.0,0.107345,-0.319158,0.573497,0.002597,0.0,-0.002603,0.002597,0.0052
1B,identified_compatible,70,1070,60,3540,0.688872,1.0,0.107345,-0.311128,0.581527,0.010627,0.0,-0.002603,0.010627,0.01323
1B,identified_compatible,71,1071,60,3540,0.68002,1.0,0.107345,-0.31998,0.572676,0.001775,0.0,-0.002603,0.001775,0.004379
1B,identified_compatible,72,1072,60,3540,0.682491,1.0,0.107345,-0.317509,0.575147,0.004246,0.0,-0.002603,0.004246,0.00685
1B,identified_compatible,73,1073,60,3540,0.684406,1.0,0.107345,-0.315594,0.577061,0.006161,0.0,-0.002603,0.006161,0.008764
1B,identified_compatible,74,1074,60,3540,0.678307,1.0,0.107345,-0.321693,0.570963,6.2e-05,0.0,-0.002603,6.2e-05,0.002666
1B,identified_compatible,75,1075,60,3540,0.68025,1.0,0.107345,-0.31975,0.572905,0.002005,0.0,-0.002603,0.002005,0.004608
1B,identified_compatible,76,1076,60,3540,0.68586,1.0,0.107345,-0.31414,0.578516,0.007615,0.0,-0.002603,0.007615,0.010219
1B,identified_compatible,77,1077,60,3540,0.686324,1.0,0.107345,-0.313676,0.57898,0.008079,0.0,-0.002603,0.008079,0.010683
1B,identified_compatible,78,1078,60,3540,0.688607,1.0,0.107345,-0.311393,0.581262,0.010362,0.0,-0.002603,0.010362,0.012965
1B,identified_compatible,79,1079,60,3540,0.690489,1.0,0.107345,-0.309511,0.583144,0.012244,0.0,-0.002603,0.012244,0.014847
1B,identified_compatible,80,1080,60,3540,0.677946,1.0,0.107345,-0.322054,0.570601,-0.000299,0.0,-0.002603,-0.000299,0.002304
1B,identified_compatible,81,1081,60,3540,0.681555,1.0,0.107345,-0.318445,0.57421,0.00331,0.0,-0.002603,0.00331,0.005913
1B,identified_compatible,82,1082,60,3540,0.678572,1.0,0.107345,-0.321428,0.571227,0.000327,0.0,-0.002603,0.000327,0.00293
1B,identified_compatible,83,1083,60,3540,0.687485,1.0,0.107345,-0.312515,0.58014,0.00924,0.0,-0.002603,0.00924,0.011843
1B,identified_compatible,84,1084,60,3540,0.695553,1.0,0.107345,-0.304447,0.588209,0.017308,0.0,-0.002603,0.017308,0.019912
1B,identified_compatible,85,1085,60,3540,0.687738,1.0,0.107345,-0.312262,0.580394,0.009493,0.0,-0.002603,0.009493,0.012097
1B,identified_compatible,86,1086,60,3540,0.679442,1.0,0.107345,-0.320558,0.572097,0.001197,0.0,-0.002603,0.001197,0.0038
1B,identified_compatible,87,1087,60,3540,0.692779,1.0,0.107345,-0.307221,0.585435,0.014534,0.0,-0.002603,0.014534,0.017138
